X,Y,(B-V)_0,(U-B)_0,M_V=m_v-5logd+5-A_V,m_U,m_B,m_V,m_R,Radius,U-B,B-V,V-R
3062.8,136.18,0.73,0.17,6.79,15.69,15.52,14.79,14.4,16,0.17,0.73,0.39
3244.66,138.4,0.42,0.2,6.21,14.83,14.63,14.21,14.02,16.5,0.2,0.42,0.19
2448.29,145.36,1.17,0.97,5.7,15.84,14.87,13.7,13.14,14.9,0.97,1.17,0.56
3597.83,157.02,0.88,0.16,7.64,16.68,16.52,15.64,15.2,17.6,0.16,0.88,0.44
3946.63,159.45,0.74,0.14,6.62,15.5,15.36,14.62,14.23,19.1,0.14,0.74,0.39
3890.31,163.2,0.73,0.3,7.47,16.5,16.2,15.47,15.06,18.8,0.3,0.73,0.41
3741.98,167.06,0.79,0.01,7.77,16.57,16.56,15.77,15.29,18.1,0.01,0.79,0.48
3620.52,180.96,0.55,0.03,5.74,14.32,14.29,13.74,13.45,17.6,0.03,0.55,0.29
3245.4,188.73,0.55,0.17,7.91,16.63,16.46,15.91,15.68,16.2,0.17,0.55,0.23
2754.57,189.93,0.79,0.2,6.56,15.55,15.35,14.56,14.12,15,0.2,0.79,0.44
3310.02,189.94,0.54,0.05,4.7,13.29,13.24,12.7,12.45,16.4,0.05,0.54,0.25
2631.54,193.2,0,-0.28,2.05,9.77,10.05,10.05,10.05,14.8,-0.28,0,0
3182.28,200.43,0.86,0.36,7.57,16.79,16.43,15.57,15.09,15.9,0.36,0.86,0.48
2455.46,204.49,0.46,0.05,5.16,13.67,13.62,13.16,12.94,14.5,0.05,0.46,0.22
2803.53,220.11,0.55,0.34,7.17,16.06,15.72,15.17,14.91,14.9,0.34,0.55,0.26
3130.25,220.53,0.61,0.04,6.95,15.6,15.56,14.95,14.6,15.6,0.04,0.61,0.35
2975.86,223.71,0.58,0.23,8,16.81,16.58,16,15.83,15.2,0.23,0.58,0.17
3164.24,231.24,0.9,0.68,7.99,17.57,16.89,15.99,15.45,15.7,0.68,0.9,0.54
2172.62,243.84,1.09,0.61,6.34,16.04,15.43,14.34,13.82,14.2,0.61,1.09,0.52
2070.99,244.83,0.43,0.2,5.86,14.49,14.29,13.86,13.66,14.2,0.2,0.43,0.2
2592.06,250.01,0.62,0.17,7.96,16.75,16.58,15.96,15.69,14.3,0.17,0.62,0.27
3769.51,251.77,0.66,0.12,7.33,16.11,15.99,15.33,14.97,17.8,0.12,0.66,0.36
2236.11,255.53,1,0.7,7.1,16.8,16.1,15.1,14.59,14.1,0.7,1,0.51
3930.25,268.69,0.96,0.74,7.17,16.87,16.13,15.17,14.66,18.4,0.74,0.96,0.51
2728.89,270.65,0.09,-0.21,1.9,9.78,9.99,9.9,9.94,14.4,-0.21,0.09,-0.04
3473.8,274.58,0.54,0.29,4.96,13.79,13.5,12.96,12.69,16.4,0.29,0.54,0.27
3805.42,279.03,0.91,-0.19,7.79,16.51,16.7,15.79,15.44,17.8,-0.19,0.91,0.35
2133.58,279.28,1.12,0.68,7.72,17.52,16.84,15.72,15.07,13.9,0.68,1.12,0.65
3812.29,286.96,0.75,0.11,7.58,16.44,16.33,15.58,15.18,17.8,0.11,0.75,0.4
2923.01,317.41,0.58,0.39,7.66,16.63,16.24,15.66,15.31,14.5,0.39,0.58,0.35
2866.6,324,1.41,0.94,7.14,17.49,16.55,15.14,14.43,14.3,0.94,1.41,0.71
3196.81,354.89,0.89,0.34,7.95,17.18,16.84,15.95,15.47,15,0.34,0.89,0.48
2118.88,362.62,1.36,1.11,6.98,17.45,16.34,14.98,14.27,13.3,1.11,1.36,0.71
3526.43,370.05,0.69,0.17,4.97,13.83,13.66,12.97,12.65,16.1,0.17,0.69,0.32
2857.27,377.68,1.22,0.47,7.93,17.62,17.15,15.93,15.28,13.9,0.47,1.22,0.65
3246.25,392.54,0.55,0.06,5.32,13.93,13.87,13.32,13.06,14.9,0.06,0.55,0.26
3645.33,406.97,1.27,0.9,7.54,17.71,16.81,15.54,14.87,16.4,0.9,1.27,0.67
3012.4,407.49,0.41,-0.01,5.98,14.38,14.39,13.98,13.81,14.1,-0.01,0.41,0.17
2234.63,417.42,0.45,0.03,7.02,15.5,15.47,15.02,14.83,12.9,0.03,0.45,0.19
2825.97,428.45,0.85,0.41,7.54,16.8,16.39,15.54,15.04,13.5,0.41,0.85,0.5
2011.31,450.87,1.24,0.68,6.9,16.82,16.14,14.9,14.23,12.8,0.68,1.24,0.67
3539.89,456.7,0.81,0.09,7.57,16.47,16.38,15.57,15.19,15.6,0.09,0.81,0.38
2449.44,463.51,0.49,0.18,5.39,14.06,13.88,13.39,13.18,12.7,0.18,0.49,0.21
2978.02,464.93,1.26,0.91,7.27,17.44,16.53,15.27,14.55,13.6,0.91,1.26,0.72
2104.31,465.76,1.15,1.12,7.24,17.51,16.39,15.24,14.65,12.6,1.12,1.15,0.59
3161.53,479.96,0.79,0.02,7.33,16.14,16.12,15.33,14.96,14.1,0.02,0.79,0.37
2307.23,482.58,1.27,0.64,7.22,17.13,16.49,15.22,14.52,12.5,0.64,1.27,0.7
3073.47,487.21,0.49,0.15,7.86,16.5,16.35,15.86,15.57,13.8,0.15,0.49,0.29
3296.21,488.33,1.26,0.82,5.99,16.07,15.25,13.99,13.35,14.5,0.82,1.26,0.64
3003.04,491.75,0.66,0.12,6.31,15.09,14.97,14.31,13.95,13.5,0.12,0.66,0.36
3051.87,503.79,0.67,0.04,6.51,15.22,15.18,14.51,14.2,13.6,0.04,0.67,0.31
3596.18,504.25,0.81,0.05,7.91,16.77,16.72,15.91,15.47,15.6,0.05,0.81,0.44
2431.02,506.72,0.46,0.62,7.72,16.8,16.18,15.72,15.47,12.4,0.62,0.46,0.25
3537.51,532.32,0.73,0.17,7.42,16.32,16.15,15.42,14.99,15.2,0.17,0.73,0.43
2228.3,548.74,0.58,0.12,5.47,14.17,14.05,13.47,13.19,12,0.12,0.58,0.28
3787.26,558.04,0.79,0.42,7.31,16.52,16.1,15.31,14.89,16.2,0.42,0.79,0.42
2028.85,558.97,1.35,0.96,7.58,17.89,16.93,15.58,14.85,12,0.96,1.35,0.73
3560.38,560.53,0.4,0.2,4.93,13.53,13.33,12.93,12.78,15.1,0.2,0.4,0.15
2739.71,566.16,1.29,0.84,7.29,17.42,16.58,15.29,14.54,12.4,0.84,1.29,0.75
2427.03,577.26,0.6,0.1,5.6,14.3,14.2,13.6,13.3,11.9,0.1,0.6,0.3
3977.44,587.4,0.69,0.09,7.67,16.45,16.36,15.67,15.2,17,0.09,0.69,0.47
3516.73,591.85,0.45,0.1,5.05,13.6,13.5,13.05,12.85,14.8,0.1,0.45,0.2
3042.09,600.8,0.89,0.43,7.51,16.83,16.4,15.51,15.1,12.9,0.43,0.89,0.41
2455.9,603.56,0.23,-0.02,3.09,11.3,11.32,11.09,11.05,11.7,-0.02,0.23,0.04
3973.92,609.3,0.8,0.09,7.8,16.69,16.6,15.8,15.39,16.9,0.09,0.8,0.41
2081.45,609.38,0.84,0.19,7.1,16.13,15.94,15.1,14.74,11.6,0.19,0.84,0.36
3175.35,614.49,0.8,0.25,7.11,16.16,15.91,15.11,14.71,13.3,0.25,0.8,0.4
2080.67,616.71,0.86,0.19,7.08,16.13,15.94,15.08,14.74,11.6,0.19,0.86,0.34
2749.52,620.06,1.38,1.02,6.7,17.1,16.08,14.7,14.01,12,1.02,1.38,0.69
3504.88,646.2,0.47,0.12,7.72,16.31,16.19,15.72,15.51,14.4,0.12,0.47,0.21
3377.07,650.7,0.59,0.32,7.66,16.57,16.25,15.66,15.48,13.8,0.32,0.59,0.18
3288.07,672.62,0.34,-0.09,6.75,15,15.09,14.75,14.61,13.4,-0.09,0.34,0.14
3289.5,681.24,0.36,-0.09,6.73,15,15.09,14.73,14.57,13.3,-0.09,0.36,0.16
2298.08,687.14,0.72,0.32,7.84,16.88,16.56,15.84,15.43,11,0.32,0.72,0.41
2815.36,712.39,0.39,0.11,5.35,13.85,13.74,13.35,13.18,11.6,0.11,0.39,0.17
3293.7,715.68,0.76,0.19,6.04,14.99,14.8,14.04,13.66,13.1,0.19,0.76,0.38
2254.28,716.38,0.81,0.21,7.39,16.41,16.2,15.39,14.96,10.8,0.21,0.81,0.43
3728.1,734.46,0.88,0.16,7.57,16.61,16.45,15.57,15.1,15,0.16,0.88,0.47
3923.73,736.15,1.32,0.89,7.05,17.26,16.37,15.05,14.37,16,0.89,1.32,0.68
3602.28,739.84,0.38,0.16,4.78,13.32,13.16,12.78,12.66,14.4,0.16,0.38,0.12
3144.1,741.48,0.71,0.07,6.97,15.75,15.68,14.97,14.61,12.4,0.07,0.71,0.36
2473.32,747.81,0.41,0.2,5.32,13.93,13.73,13.32,13.18,10.7,0.2,0.41,0.14
3416.09,757.36,0.74,0.1,6.69,15.53,15.43,14.69,14.31,13.4,0.1,0.74,0.38
2098.88,769.14,0.5,0.18,5.01,13.69,13.51,13.01,12.8,10.5,0.18,0.5,0.21
3085.88,773.33,1.4,0.75,7.73,17.88,17.13,15.73,15,12,0.75,1.4,0.73
3882.56,790.34,0.65,0.34,6.76,15.75,15.41,14.76,14.41,15.5,0.34,0.65,0.35
2954.1,809.42,0.96,0.6,7.15,16.71,16.11,15.15,14.69,11.3,0.6,0.96,0.46
3376.86,810.72,0.87,0.27,7.17,16.31,16.04,15.17,14.68,12.9,0.27,0.87,0.49
2540.56,813.85,1.02,0.62,7.64,17.28,16.66,15.64,14.98,10.3,0.62,1.02,0.66
2704.19,817.47,0.89,0.33,7.82,17.04,16.71,15.82,15.37,10.6,0.33,0.89,0.45
3930.29,821.4,0.08,-0.35,2.06,9.79,10.14,10.06,10.06,15.6,-0.35,0.08,0
3367.67,836.24,1.25,0.96,4.69,14.9,13.94,12.69,12.05,12.8,0.96,1.25,0.64
2947.76,846.63,0.79,0.04,7.92,16.75,16.71,15.92,15.52,11.1,0.04,0.79,0.4
2646.74,848.17,0.54,0.18,5.14,13.86,13.68,13.14,12.9,10.3,0.18,0.54,0.24
3744.31,848.38,1.45,0.41,7.88,17.74,17.33,15.88,15.24,14.5,0.41,1.45,0.64
2410.25,859.42,0.85,0.34,7.44,16.63,16.29,15.44,15,9.9,0.34,0.85,0.44
2300.11,861.66,0.66,0.13,6.21,15,14.87,14.21,13.89,9.8,0.13,0.66,0.32
3738.75,870.01,1.31,1.15,5.93,16.39,15.24,13.93,13.24,14.4,1.15,1.31,0.69
3598.33,871.63,0.98,0.44,7.92,17.34,16.9,15.92,15.38,13.7,0.44,0.98,0.54
3840.19,880.08,0.53,0.36,7.45,16.34,15.98,15.45,15.23,14.9,0.36,0.53,0.22
2427.73,884.72,0.66,0.32,7.26,16.24,15.92,15.26,14.89,9.7,0.32,0.66,0.37
2471.37,893.05,0.57,0.18,5.41,14.16,13.98,13.41,13.14,9.7,0.18,0.57,0.27
3967.26,914.7,0.47,0.28,6.29,15.04,14.76,14.29,14.12,15.4,0.28,0.47,0.17
2672.82,925.97,0.78,0.17,7.2,16.15,15.98,15.2,14.83,9.8,0.17,0.78,0.37
3486.23,935.27,0.37,-0.09,6.26,14.54,14.63,14.26,14.09,12.8,-0.09,0.37,0.17
3211.8,948.65,0.73,0.14,6.6,15.47,15.33,14.6,14.23,11.5,0.14,0.73,0.37
2598.11,950.06,0.44,0.13,7.84,16.41,16.28,15.84,15.71,9.5,0.13,0.44,0.13
2002.99,967.29,0.82,0.32,7.94,17.08,16.76,15.94,15.48,9.2,0.32,0.82,0.46
3513.8,975.73,0.33,-0.06,6.06,14.33,14.39,14.06,13.87,12.7,-0.06,0.33,0.19
3182.97,982.03,0.45,0.09,7.66,16.2,16.11,15.66,15.57,11.1,0.09,0.45,0.09
2714.54,1002.28,0.56,0.31,7.35,16.22,15.91,15.35,15.17,9.4,0.31,0.56,0.18
3763.29,1005.59,0.74,0.24,7.73,16.71,16.47,15.73,15.32,13.9,0.24,0.74,0.41
2570.34,1013.57,0.47,0.28,7.17,15.92,15.64,15.17,14.97,9,0.28,0.47,0.2
2126.42,1022.1,0.92,0.31,8,17.23,16.92,16,15.59,8.7,0.31,0.92,0.41
3117.34,1023.65,0.84,0.18,7.27,16.29,16.11,15.27,14.85,10.6,0.18,0.84,0.42
2028.07,1031.21,0.52,0.12,5.22,13.86,13.74,13.22,12.99,8.7,0.12,0.52,0.23
3564.75,1034.15,0.53,0.03,3.78,12.34,12.31,11.78,11.51,12.7,0.03,0.53,0.27
2335.12,1057.31,0.63,0.16,6.41,15.2,15.04,14.41,14.12,8.4,0.16,0.63,0.29
2036.81,1081.19,1.78,1.86,5.96,17.6,15.74,13.96,13.05,8.4,1.86,1.78,0.91
2322.29,1095.07,1.32,1.06,6.43,16.81,15.75,14.43,13.74,8.2,1.06,1.32,0.69
2221.56,1110.92,0.7,0.47,7.53,16.7,16.23,15.53,15.19,8,0.47,0.7,0.34
2832.14,1117.32,0.12,-0.19,2.02,9.95,10.14,10.02,9.98,9,-0.19,0.12,0.04
2832.18,1117.32,0.12,-0.19,2.02,9.95,10.14,10.02,9.98,9,-0.19,0.12,0.04
2337.36,1119.35,0.78,0.2,5.99,14.97,14.77,13.99,13.61,8,0.2,0.78,0.38
3784.07,1120.53,0.83,0.18,6.67,15.68,15.5,14.67,14.24,13.5,0.18,0.83,0.43
2622.08,1134.13,0.95,0.29,7.24,16.48,16.19,15.24,14.73,8.3,0.29,0.95,0.51
2290.33,1142.22,0.85,0.21,6.56,15.62,15.41,14.56,14.13,7.8,0.21,0.85,0.43
2704.57,1149.92,0.81,0.22,6.86,15.89,15.67,14.86,14.51,8.4,0.22,0.81,0.35
3008.24,1152.57,0.46,0.25,7.94,16.65,16.4,15.94,15.72,9.4,0.25,0.46,0.22
2402.25,1153.2,1.12,0.92,7.28,17.32,16.4,15.28,14.67,7.8,0.92,1.12,0.61
3222.24,1163.23,0.87,0.45,7.38,16.7,16.25,15.38,14.92,10.3,0.45,0.87,0.46
2601.58,1167.43,0.65,0.3,5.98,14.93,14.63,13.98,13.66,8,0.3,0.65,0.32
3088.5,1172.79,0.59,0.29,6.14,15.02,14.73,14.14,13.87,9.7,0.29,0.59,0.27
3088.5,1172.84,0.59,0.29,6.14,15.02,14.73,14.14,13.87,9.7,0.29,0.59,0.27
3627.62,1176.5,0.83,0.29,7.79,16.91,16.62,15.79,15.33,12.4,0.29,0.83,0.46
2133.31,1185.21,0.9,0.62,7.91,17.43,16.81,15.91,15.47,7.5,0.62,0.9,0.44
2999.51,1185.67,0.54,0.21,7.17,15.92,15.71,15.17,14.95,9.2,0.21,0.54,0.22
3456.46,1192.64,0.77,0.16,7.63,16.56,16.4,15.63,15.23,11.4,0.16,0.77,0.4
3752.73,1198.03,1.3,1.06,6.95,17.31,16.25,14.95,14.28,13,1.06,1.3,0.67
3665.76,1199.43,0.95,0.32,7.39,16.66,16.34,15.39,14.85,12.5,0.32,0.95,0.54
3153.93,1217.88,1.18,0.78,7.64,17.6,16.82,15.64,14.99,9.7,0.78,1.18,0.65
3597.17,1218.55,1.25,0.75,7.43,17.43,16.68,15.43,14.73,12,0.75,1.25,0.7
3317.54,1225.62,0.59,0.38,7.55,16.52,16.14,15.55,15.29,10.5,0.38,0.59,0.26
2328.44,1230.58,0.82,0.18,6.74,15.74,15.56,14.74,14.29,7.2,0.18,0.82,0.45
2166.06,1244.44,0.81,0.27,6.36,15.44,15.17,14.36,13.92,7.1,0.27,0.81,0.44
2868.03,1254.13,1.36,1.21,3.05,13.62,12.41,11.05,10.36,8.3,1.21,1.36,0.69
2983.14,1257.59,0.67,0.26,7.46,16.39,16.13,15.46,15.1,8.7,0.26,0.67,0.36
2687.59,1258.26,0.91,0.23,7.84,16.98,16.75,15.84,15.47,7.7,0.23,0.91,0.37
2121.17,1261.99,0.69,0.3,7.08,16.07,15.77,15.08,14.79,7,0.3,0.69,0.29
2945.05,1262.95,0.5,0.16,5.14,13.8,13.64,13.14,12.92,8.5,0.16,0.5,0.22
2220.26,1262.97,0.86,0.6,7.35,16.81,16.21,15.35,14.83,6.9,0.6,0.86,0.52
2709.58,1263.17,0.7,0.23,7.57,16.5,16.27,15.57,15.26,7.7,0.23,0.7,0.31
3377,1267.55,0.56,0.36,7.51,16.43,16.07,15.51,15.12,10.6,0.36,0.56,0.39
3366.52,1271.22,0.77,0.12,7.09,15.98,15.86,15.09,14.7,10.5,0.12,0.77,0.39
2773.42,1272.93,0.92,0.3,6.9,16.12,15.82,14.9,14.41,7.8,0.3,0.92,0.49
3630.04,1281.85,1.34,0.92,7.76,18.02,17.1,15.76,15.05,12,0.92,1.34,0.71
2551.91,1292.24,0.64,0.13,5.84,14.61,14.48,13.84,13.53,7.1,0.13,0.64,0.31
2130.88,1304.68,0.54,0.14,5.18,13.86,13.72,13.18,12.94,6.7,0.14,0.54,0.24
2708.08,1319.31,0.18,-0.17,2.17,10.18,10.35,10.17,10.13,7.3,-0.17,0.18,0.04
2505.66,1327.47,0.16,-0.13,2.45,10.48,10.61,10.45,10.4,6.7,-0.13,0.16,0.05
2069,1331.35,0.21,-0.01,2.58,10.78,10.79,10.58,10.58,6.6,-0.01,0.21,0
2907.31,1340.39,0.96,0.66,6.98,16.6,15.94,14.98,14.54,7.9,0.66,0.96,0.44
2004.61,1345.88,0.13,-0.12,2.69,10.7,10.82,10.69,10.62,6.6,-0.12,0.13,0.07
3727.82,1352.66,0.41,0.19,5.59,14.19,14,13.59,13.44,12.3,0.19,0.41,0.15
3133.67,1353.15,0.64,0.09,6.02,14.75,14.66,14.02,13.69,8.9,0.09,0.64,0.33
3087.02,1355.53,0.87,0.03,7.8,16.7,16.67,15.8,15.41,8.7,0.03,0.87,0.39
3828.89,1376.05,0.99,0.99,7.43,17.41,16.42,15.43,14.93,12.8,0.99,0.99,0.5
2379.56,1396.19,0.45,0.18,4.74,13.37,13.19,12.74,12.57,6.1,0.18,0.45,0.17
2458.17,1399.66,0.6,0.31,6.96,15.87,15.56,14.96,14.71,6.2,0.31,0.6,0.25
2654.44,1400.93,0.51,0.08,7.77,16.36,16.28,15.77,15.52,6.6,0.08,0.51,0.25
3051.99,1401.32,0.67,0.38,7.79,16.84,16.46,15.79,15.44,8.3,0.38,0.67,0.35
2097.7,1401.51,0.74,0.23,6.63,15.6,15.37,14.63,14.27,6,0.23,0.74,0.36
2727.83,1402.77,0.62,0.46,7.93,17.01,16.55,15.93,15.62,6.9,0.46,0.62,0.31
2139.02,1405.12,1.34,1.07,6.04,16.45,15.38,14.04,13.36,6,1.07,1.34,0.68
2428.52,1417.14,0.63,0,5.48,14.11,14.11,13.48,13.19,6,0,0.63,0.29
3829.23,1425.36,0.66,0.36,7.45,16.47,16.11,15.45,15.16,12.6,0.36,0.66,0.29
2008.85,1428.62,1.04,0.41,7.46,16.91,16.5,15.46,14.97,6,0.41,1.04,0.49
3297.85,1438.72,0.41,0.18,4.5,13.09,12.91,12.5,12.36,9.4,0.18,0.41,0.14
2293.53,1450.24,0.34,-0.22,5.8,13.92,14.14,13.8,13.64,5.6,-0.22,0.34,0.16
2511.1,1453.14,0.45,0.19,5.27,13.91,13.72,13.27,13.07,5.9,0.19,0.45,0.2
3774.7,1457.66,0.46,0.11,5.02,13.59,13.48,13.02,12.83,12.2,0.11,0.46,0.19
2354.22,1457.82,0.6,0.17,5.56,14.33,14.16,13.56,13.26,5.6,0.17,0.6,0.3
3440.8,1464.93,0.5,0.2,7.24,15.94,15.74,15.24,14.99,10.1,0.2,0.5,0.25
2063.69,1466.19,0.45,0.19,4.49,13.13,12.94,12.49,12.32,5.6,0.19,0.45,0.17
2222.94,1468.34,1.59,0.8,7.55,17.94,17.14,15.55,14.77,5.5,0.8,1.59,0.78
3102.17,1471.43,0.77,0.21,6.38,15.36,15.15,14.38,14.03,8.2,0.21,0.77,0.35
3511.51,1475.83,0.36,0.11,4.15,12.62,12.51,12.15,12.1,10.5,0.11,0.36,0.05
3156.6,1478.9,0.51,0.1,5.18,13.79,13.69,13.18,12.98,8.4,0.1,0.51,0.2
2800.11,1484.05,0.27,0.04,3.02,11.33,11.29,11.02,10.95,6.7,0.04,0.27,0.07
2874.12,1511.22,1.31,0.92,7.87,18.1,17.18,15.87,15.1,6.8,0.92,1.31,0.77
3766.78,1526.13,0.63,0.02,3.84,12.49,12.47,11.84,11.57,11.9,0.02,0.63,0.27
2070.76,1549.3,0.21,-0.11,3.13,11.23,11.34,11.13,11.13,5.1,-0.11,0.21,0
2787,1551.36,0.89,0.52,3.9,13.31,12.79,11.9,11.36,6.2,0.52,0.89,0.54
2852.55,1553.78,0.84,0.19,7.73,16.76,16.57,15.73,15.4,6.5,0.19,0.84,0.33
2102.35,1557.85,1.38,0.49,7.83,17.7,17.21,15.83,15.18,5,0.49,1.38,0.65
2429.7,1565.77,0.76,0.2,6.26,15.22,15.02,14.26,13.88,5,0.2,0.76,0.38
2390.84,1576.95,0.9,0.25,7.65,16.8,16.55,15.65,15.13,4.8,0.25,0.9,0.52
2527.03,1579.94,0.62,0.29,7.58,16.49,16.2,15.58,15.28,5.1,0.29,0.62,0.3
2330.9,1591.12,0.8,0.24,6.96,16,15.76,14.96,14.56,4.7,0.24,0.8,0.4
3243.35,1592,0.59,0.06,4.83,13.48,13.42,12.83,12.58,8.5,0.06,0.59,0.25
3088.2,1595.83,0.44,0.16,4.82,13.42,13.26,12.82,12.67,7.5,0.16,0.44,0.15
2707.53,1597.84,0.75,0.27,7.53,16.55,16.28,15.53,15.21,5.6,0.27,0.75,0.32
2497.18,1610.25,0.3,0.07,3.63,12,11.93,11.63,11.54,4.8,0.07,0.3,0.09
3068.81,1610.94,0.77,0.09,7.97,16.83,16.74,15.97,15.55,7.4,0.09,0.77,0.42
3413.58,1628.94,0.59,0.26,7.4,16.25,15.99,15.4,15.1,9.4,0.26,0.59,0.3
3241.99,1632.88,0.45,0.26,6.74,15.45,15.19,14.74,14.56,8.3,0.26,0.45,0.18
3883.72,1638.7,0.37,0.18,4.5,13.05,12.87,12.5,12.38,12.4,0.18,0.37,0.12
2718.11,1639.27,1.44,1.1,5.7,16.24,15.14,13.7,12.98,5.4,1.1,1.44,0.72
3202.01,1641.57,0.63,0.29,7.65,16.57,16.28,15.65,15.29,8,0.29,0.63,0.36
3949.37,1646.03,0.46,0.26,7.67,16.39,16.13,15.67,15.47,12.8,0.26,0.46,0.2
2098.45,1652.69,0.37,0.18,4.57,13.12,12.94,12.57,12.47,4.3,0.18,0.37,0.1
2453.59,1658.69,0.45,0.07,6.52,15.04,14.97,14.52,14.31,4.4,0.07,0.45,0.21
2910.49,1673.7,0.66,0.06,6.11,14.83,14.77,14.11,13.81,6.2,0.06,0.66,0.3
2791.38,1674.52,0.66,0.08,5.83,14.57,14.49,13.83,13.52,5.6,0.08,0.66,0.31
3898.59,1679.23,0.72,0.16,6.84,15.72,15.56,14.84,14.45,12.4,0.16,0.72,0.39
3261.57,1685,0.4,0.15,4.58,13.13,12.98,12.58,12.43,8.2,0.15,0.4,0.15
2279.81,1697.84,1.41,1.4,0.58,11.39,9.99,8.58,7.95,3.9,1.4,1.41,0.63
2103.88,1697.92,0.17,-0.06,2.85,10.96,11.02,10.85,10.79,4,-0.06,0.17,0.06
2103.88,1697.92,0.17,-0.06,2.85,10.96,11.02,10.85,10.79,4,-0.06,0.17,0.06
2631.24,1697.94,1.23,0.83,6.24,16.3,15.47,14.24,13.6,4.7,0.83,1.23,0.64
2930.14,1699.76,0.73,0.16,6.86,15.75,15.59,14.86,14.48,6.2,0.16,0.73,0.38
3451.73,1703.62,0.89,0.34,2.74,11.97,11.63,10.74,10.31,9.4,0.34,0.89,0.43
2559.12,1710.66,0.26,0.05,3.56,11.87,11.82,11.56,11.49,4.4,0.05,0.26,0.07
2351.22,1713.63,0.9,0.36,6.8,16.06,15.7,14.8,14.34,3.8,0.36,0.9,0.46
3668.24,1715.95,0.94,0.42,7.77,17.13,16.71,15.77,15.35,10.8,0.42,0.94,0.42
3289.42,1716.25,0.83,0.15,7.5,16.48,16.33,15.5,15.08,8.3,0.15,0.83,0.42
2840.97,1722.37,0.98,0.5,7.89,17.37,16.87,15.89,15.36,5.6,0.5,0.98,0.53
2800.57,1727.6,0.27,0.08,3.3,11.65,11.57,11.3,11.2,5.4,0.08,0.27,0.1
2602.88,1730.71,0.57,0.2,7.46,16.23,16.03,15.46,15.2,4.4,0.2,0.57,0.26
2392.8,1734.46,1.35,0.8,7.42,17.57,16.77,15.42,14.73,3.8,0.8,1.35,0.69
2890.64,1735.48,0.83,0.23,7.97,17.03,16.8,15.97,15.57,5.8,0.23,0.83,0.4
3374.54,1746.36,1,0.53,5.24,14.77,14.24,13.24,12.76,8.8,0.53,1,0.48
2898.09,1749.55,0.76,0.15,7.62,16.53,16.38,15.62,15.19,5.8,0.15,0.76,0.43
3283.65,1760.99,0.92,0.26,7.38,16.56,16.3,15.38,15,8.1,0.26,0.92,0.38
3737.83,1766.34,0.49,0.17,6.55,15.21,15.04,14.55,14.35,11.1,0.17,0.49,0.2
2229.13,1766.49,0.9,0.46,6.12,15.48,15.02,14.12,13.68,3.4,0.46,0.9,0.44
2937.27,1767.53,0.17,-0.12,2.92,10.97,11.09,10.92,10.9,6,-0.12,0.17,0.02
2766.65,1767.96,0.59,0.36,7.12,16.07,15.71,15.12,14.83,5,0.36,0.59,0.29
2679.88,1769.69,0.48,0.24,6,14.72,14.48,14,13.79,4.6,0.24,0.48,0.21
3667.82,1772.08,0.51,0.08,7.56,16.15,16.07,15.56,15.33,10.6,0.08,0.51,0.23
3166.73,1773.64,1.03,0.62,6.88,16.53,15.91,14.88,14.39,7.3,0.62,1.03,0.49
3453.16,1781.57,0.99,0.32,7.98,17.29,16.97,15.98,15.42,9.2,0.32,0.99,0.56
3871.74,1791.47,0.54,0.22,7.48,16.24,16.02,15.48,15.26,12,0.22,0.54,0.22
3139.25,1798.35,0.5,0.13,5,13.63,13.5,13,12.82,7.1,0.13,0.5,0.18
2609.1,1804.87,0.6,0.31,7.6,16.51,16.2,15.6,15.33,4,0.31,0.6,0.27
3878.75,1823.17,0.5,0.26,7.93,16.69,16.43,15.93,15.68,12,0.26,0.5,0.25
2309.94,1825.6,1.26,0.51,7.38,17.15,16.64,15.38,14.74,3,0.51,1.26,0.64
2991.87,1828.74,0.68,0.08,6.21,14.97,14.89,14.21,13.9,6.1,0.08,0.68,0.31
2203.92,1835.22,0.5,0.4,7.67,16.57,16.17,15.67,15.32,2.9,0.4,0.5,0.35
3149.35,1841.41,0.23,0.07,3.75,12.05,11.98,11.75,11.74,7,0.07,0.23,0.01
2811.18,1843.02,0.5,0.24,6.17,14.91,14.67,14.17,13.92,4.9,0.24,0.5,0.25
2690.07,1846.71,0.63,0.19,6.19,15.01,14.82,14.19,13.84,4.2,0.19,0.63,0.35
2690.07,1846.71,0.63,0.19,6.19,15.01,14.82,14.19,13.84,4.2,0.19,0.63,0.35
2750.24,1848.1,0.7,0.34,6.72,15.76,15.42,14.72,14.39,4.6,0.34,0.7,0.33
2892.93,1855.91,0.77,0.23,6.93,15.93,15.7,14.93,14.52,5.4,0.23,0.77,0.41
3286.79,1857.42,0.94,0.26,7.99,17.19,16.93,15.99,15.53,7.9,0.26,0.94,0.46
2644.07,1865.36,0.2,-0.15,2.24,10.29,10.44,10.24,10.19,3.9,-0.15,0.2,0.05
2644.11,1865.36,0.2,-0.15,2.24,10.29,10.44,10.24,10.19,3.9,-0.15,0.2,0.05
2467.92,1869.23,0.81,0.16,6.82,15.79,15.63,14.82,14.44,3.1,0.16,0.81,0.38
2826.67,1873.49,0.74,0.17,6.4,15.31,15.14,14.4,14.02,4.9,0.17,0.74,0.38
2273.38,1875.25,0.34,0.16,4.12,12.62,12.46,12.12,11.97,2.6,0.16,0.34,0.15
