X,Y,(B-V)_0,(U-B)_0,M_V=m_v-5logd+5-A_V,m_U,m_B,m_V,m_R,Radius,U-B,B-V,V-R
367.1,1348.96,0.54,0.23,7.33,16.1,15.87,15.33,15.14,14.7,0.23,0.54,0.19
1344.09,1357.61,0.48,0.18,4.91,13.57,13.39,12.91,12.71,8.9,0.18,0.48,0.2
660.71,1365.28,0.72,0.33,6.89,15.94,15.61,14.89,14.49,12.8,0.33,0.72,0.4
819.96,1365.69,0.2,-0.14,2.77,10.83,10.97,10.77,10.72,11.8,-0.14,0.2,0.05
1416.27,1382.81,0.6,0.22,5.59,14.41,14.19,13.59,13.17,8.5,0.22,0.6,0.42
336,1391.72,0.79,0.31,7.2,16.3,15.99,15.2,14.79,14.8,0.31,0.79,0.41
471.32,1401.04,0.74,0.17,6.29,15.2,15.03,14.29,13.91,13.9,0.17,0.74,0.38
1530.35,1408.47,0.93,0.52,5.33,14.78,14.26,13.33,12.89,7.8,0.52,0.93,0.44
575.9,1408.86,1.68,0.52,7.6,17.8,17.28,15.6,14.88,13.2,0.52,1.68,0.72
1085.64,1413.03,1.18,0.86,3.16,13.2,12.34,11.16,10.59,10.1,0.86,1.18,0.57
1118,1414.58,0.91,0.52,6.09,15.52,15,14.09,13.64,9.9,0.52,0.91,0.45
1055.74,1429.07,0.81,0.21,7.41,16.43,16.22,15.41,14.96,10.2,0.21,0.81,0.45
1587.25,1429.89,0.62,0.24,5.48,14.34,14.1,13.48,13.17,7.4,0.24,0.62,0.31
18.69,1436.51,0.79,0.48,7.22,16.49,16.01,15.22,14.75,16.8,0.48,0.79,0.47
118.21,1440.59,1.45,1.53,5.85,16.83,15.3,13.85,13.1,16.1,1.53,1.45,0.75
326.91,1477.67,1.24,0.93,6.13,16.3,15.37,14.13,13.49,14.6,0.93,1.24,0.64
491.08,1479.07,0.26,-0.2,1.42,9.48,9.68,9.42,9.32,13.5,-0.2,0.26,0.1
491.08,1479.07,0.26,-0.2,1.42,9.48,9.68,9.42,9.32,13.5,-0.2,0.26,0.1
870.09,1485.72,0.62,0.02,4.08,12.72,12.7,12.08,11.93,11.1,0.02,0.62,0.15
1321.02,1511,0.7,0.21,5.56,14.47,14.26,13.56,13.22,8.3,0.21,0.7,0.34
1424.66,1513.43,0.1,-0.33,0.78,8.55,8.88,8.78,8.75,7.8,-0.33,0.1,0.03
1851.66,1517.05,0.19,0.01,2.66,10.86,10.85,10.66,10.64,5.8,0.01,0.19,0.02
